hood_id	seqid	start	end	align_gene	ipg_id	source	protein name	organism	strain	ipg_protein_id
291	NZ_JBSMVY010000022.1	0	27012	WP_204654233.1	408722035	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus lemanii	SS1916	WP_204654233.1
290	NZ_RBYI01000011.1	78656	112326	WP_203573398.1	406756403	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria ivanovii	Liv13-002	WP_203573398.1
293	NZ_JAFLVT010000001.1	232643	276624	WP_206902414.1	415653712	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Candidatus Enterococcus myersii	MJM12	WP_206902414.1
294	NZ_JAFLVX010000002.1	85290	113369	WP_206964157.1	415672637	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Candidatus Vagococcus giribetii	DIV0080	WP_206964157.1
301	NZ_JACBYB010000009.1	12982	57032	WP_218925225.1	474558697	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Gemella sp. GL1	GL1	WP_218925225.1
296	NZ_CP040420.1	630648	674647	WP_208953638.1	425132960	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Dolosigranulum pigrum	KPL3065	WP_208953638.1
297	NZ_JBRUEC010000001.1	0	31928	WP_209551351.1	427588403	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus panodentis	SS1987	WP_209551351.1
289	NZ_CP063071.1	2611594	2655593	WP_196318727.1	377348064	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria seeligeri	Sr73	WP_196318727.1
298	NZ_JAEDXU010000007.1	179740	223754	WP_209558162.1	426595594	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus larvae	BWM-S5	WP_209558162.1
300	NZ_CP198988.1	710753	754806	WP_217950701.1	468989105	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Granulicatella adiacens	GA01	WP_217950701.1
312	NZ_OPYI01000008.1	61194	105274	WP_234411466.1	516365721	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Aedoeadaptatus coli	Marseille-P3761	WP_234411466.1
314	NZ_SCEZ01000002.1	89515	117856	WP_238333552.1	524314249	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus sanfranciscensis	TMW1640	WP_238333552.1
307	NZ_JAJDJW010000001.1	114742	158753	WP_229443200.1	497858217	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp. CWB-B31	CWB-B31	WP_229443200.1
309	NZ_JAIQYN010000002.1	0	32176	WP_230907626.1	507605431	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria monocytogenes	UTK_C1-0013-E1	WP_230907626.1
311	NZ_JADMFT010000003.1	0	42198	WP_231475690.1	508631448	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus gallinarum	U1908814	WP_231475690.1
310	NZ_JAIQYG010000001.1	496322	528806	WP_230908252.1	507603609	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria cossartiae	UTK_C1-0002-E1	WP_230908252.1
315	NZ_KZ846614.1	33925	76217	WP_240189702.1	196167455	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus hirae	175EA1	WP_240189702.1
316	NZ_JAAEDA010000003.1	28207	71276	WP_243913841.1	540770274	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Pseudolactococcus paracarnosus	TMW21897	WP_243913841.1
319	NZ_BQUT01000001.1	47144	91245	WP_244086839.1	527329181	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Companilactobacillus sp. RD055328	RD055328	WP_244086839.1
317	NZ_JAAECZ010000014.1	0	36903	WP_243964352.1	540769819	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Pseudolactococcus carnosus	TMW21898	WP_243964352.1
320	NZ_JALDWB010000004.1	92612	127444	WP_247944636.1	548581460	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus oralis	O3-1	WP_247944636.1
321	NZ_DKTW01000098.1	0	21595	WP_251421210.1	558331684	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Lactococcus sp. UBA7220		WP_251421210.1
325	NZ_JAMYJB010000004.1	2261	46407	WP_253216574.1	562217459	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus suis	WUSS292	WP_253216574.1
326	NZ_JAJJOR010000026.1	0	16318	WP_254670826.1	564391960	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Latilactobacillus curvatus	ELA214061	WP_254670826.1
322	NZ_CP097119.1	928639	972677	WP_252766360.1	560893814	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus cliffordii	KI4_B1	WP_252766360.1
324	NZ_CP097117.1	652716	696742	WP_252814797.1	560892188	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus cliffordii	KI11_D11	WP_252814797.1
323	NZ_CP097118.1	24353	68379	WP_252797245.1	560892912	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus hinvesii	KI11_C11	WP_252797245.1
327	NZ_JAGQFU010000001.1	912629	956808	WP_254724469.1	564449692	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. 9.1(2021)	9.1(2021)	WP_254724469.1
332	NZ_JANKAY010000002.1	223202	267153	WP_257576158.1	571336085	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Ligilactobacillus apodemi	DSM 16748	WP_257576158.1
330	NZ_CP078545.1	1231046	1272595	WP_256866723.1	570531862	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus dysgalactiae	Colony591	WP_256866723.1
338	NZ_JAOBSU010000056.1	0	11562	WP_262092327.1	582967858	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus danieliae	DSM 22233	WP_262092327.1
331	NZ_JALJAX010000003.1	1458312	1502413	WP_256958188.1	570640722	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. O1	O1	WP_256958188.1
335	NZ_JABXFR010000002.1	846588	890080	WP_258924732.1	576144281	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus hirae	13347	WP_258924732.1
337	NZ_RIGW01000028.1	27486	71509	WP_259742034.1	578527731	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus faecium	LBAE A6	WP_259742034.1
333	NZ_CP102451.1	1154399	1198407	WP_257699401.1	571640042	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus luciliae	G314F	WP_257699401.1
339	NZ_JAKUYH010000001.1	485037	529171	WP_268727822.1	604405474	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus gallolyticus subsp. gallolyticus	A14000041	WP_268727822.1
343	NZ_JAQDYG010000004.1	4605	48793	WP_270211121.1	611932690	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus anginosus	AM113-92	WP_270211121.1
336	NZ_CP072438.1	1438685	1481547	WP_259699912.1	579462650	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus thermophilus	S24733	WP_259699912.1
341	NZ_JAKUYJ010000001.1	282029	326094	WP_268736080.1	604405737	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus gallolyticus subsp. gallolyticus	A13000320	WP_268736080.1
340	NZ_JAKUYB010000003.1	670690	714890	WP_268733343.1	604402352	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus gallolyticus subsp. gallolyticus	B16897285	WP_268733343.1
342	NZ_JAPRFQ010000001.1	813067	857135	WP_268752030.1	605004787	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Aerococcus kribbianus	YH-aer221	WP_268752030.1
344	NZ_JAQHXU010000005.1	0	33131	WP_271016116.1	612723843	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus thailandicus	EG15B	WP_271016116.1
345	NZ_JALFWL010000101.1	4196	31650	WP_273415421.1	537970994	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus orisratti		WP_273415421.1
346	NZ_JANHMF010000008.1	172567	216785	WP_274657026.1	631339302	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus equinus	APC4007	WP_274657026.1
349	NZ_JARXWL010000025.1	6348	49173	WP_280738890.1	650421435	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp. PF1-24	PF1-24	WP_280738890.1
357	NZ_JABZFW010000002.1	0	26120	WP_291427296.1	371354788	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Abiotrophia sp.		WP_291427296.1
363	NZ_CAAEGO010000003.1	39329	82330	WP_295333984.1	667735501	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	uncultured Streptococcus sp.		WP_295333984.1
369	NZ_JARQAI010000001.1	270864	314857	WP_311796436.1	700933915	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus pseudoavium	P69-2	WP_311796436.1
365	NZ_CP129527.1	1379637	1423702	WP_301899337.1	672899579	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus equi subsp. zooepidemicus	BJ-1	WP_301899337.1
371	NZ_JARQBN010000001.1	286462	328919	WP_311818347.1	700978283	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus viikkiensis	B101	WP_311818347.1
370	NZ_JARPZC010000012.1	64584	94587	WP_311806273.1	700922443	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus dongliensis	K4	WP_311806273.1
377	NZ_CAUQCH010000001.1	107994	152293	WP_314085883.1	705609814	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Pseudolactococcus chungangensis		WP_314085883.1
373	NZ_JARQAJ010000002.1	0	38474	WP_311829562.1	700932137	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus xiangfangensis	P66-3	WP_311829562.1
378	NZ_CAUQCL010000001.1	144876	188905	WP_314110630.1	705633495	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	uncultured Granulicatella sp.		WP_314110630.1
374	NZ_JARQAL010000001.1	242435	286425	WP_311832714.1	700929748	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus asini	P56-2	WP_311832714.1
376	NZ_JARQBM010000009.1	61865	105882	WP_311930871.1	700975381	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus durans	B160-1	WP_311930871.1
372	NZ_JARPYF010000001.1	191644	235652	WP_311820952.1	700915485	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus hulanensis	D86-2	WP_311820952.1
379	NZ_CAUTFD010000001.1	62860	106925	WP_314330561.1	705821780	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Abiotrophia defectiva		WP_314330561.1
382	NZ_CAUROP010000016.1	0	26251	WP_315271523.1	707021535	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	uncultured Abiotrophia sp.		WP_315271523.1
389	NZ_CAIJCT010000016.1	168474	212476	WP_321165444.1	341323825	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Aedoeadaptatus coxii		WP_321165444.1
384	NZ_JAWGOQ010000025.1	5741	49746	WP_316404430.1	708582043	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp.		WP_316404430.1
387	NZ_JAGQEX010000004.1	4747	48875	WP_317609694.1	711449633	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus canis	284	WP_317609694.1
392	NZ_PGQJ01000012.1	2058	45331	WP_328706067.1	790364672	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus lactis	Tb32-6	WP_328706067.1
388	NZ_JAWUAE010000001.1	1045762	1089890	WP_318713630.1	714844631	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus canis	StcaBUH01	WP_318713630.1
391	NZ_CP142146.1	814535	857628	WP_326717826.1	774845440	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus jeotgali	B2T-5	WP_326717826.1
400	NZ_JARBFD010000001.1	139996	166240	WP_346006852.1	844461511	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus sanfranciscensis	Fs_1009	WP_346006852.1
398	NZ_JAYKTZ010000005.1	132026	176076	WP_334333184.1	817254848	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Companilactobacillus sp. HBUAS59544	HBUAS59544	WP_334333184.1
399	NZ_JBAWSZ010000002.1	233987	278127	WP_336494327.1	820034643	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pasteurianus	SGPN1	WP_336494327.1
401	NZ_JBCOAY010000008.1	85007	117262	WP_350007567.1	859259295	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus parasanguinis	RTP31139st3_G4_RTP31139_211217	WP_350007567.1
397	NZ_JAVWLN010000002.1	326193	370222	WP_332495938.1	808791702	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp.		WP_332495938.1
402	NZ_JBRUGV010000002.1	214556	258639	WP_354280254.1	866881750	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus gallinaceus	SS1736	WP_354280254.1
408	NZ_JBCLRY010000005.1	89749	133769	WP_369886579.1	887249202	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus ratti	29-64	WP_369886579.1
404	NZ_JBFNEN010000029.1	0	31120	WP_367663808.1	882672526	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Clostridium sp.		WP_367663808.1
410	NZ_JBFCZH010000003.1	102694	146624	WP_369944879.1	887284868	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Ligilactobacillus animalis	DW3	WP_369944879.1
411	NZ_JBCLSI010000021.1	3001	39715	WP_369951445.1	887291104	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Lactococcus ileimucosae	26-13	WP_369951445.1
409	NZ_JBCLRH010000005.1	0	30376	WP_369921570.1	887274237	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Tissierella praeacuta	41-10	WP_369921570.1
403	NZ_CP129328.1	779599	823706	WP_367562450.1	709288130	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus iniae	Si 1-19	WP_367562450.1
414	NZ_JBGTZA010000001.1	65506	95033	WP_373657920.1	899040601	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. E29BA	E29BA	WP_373657920.1
412	NZ_JBCLUB010000001.1	279775	323936	WP_369965657.1	887301700	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus ferus	16-9	WP_369965657.1
415	NZ_JBGXSR010000045.1	0	19081	WP_373756450.1	899337458	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus ferus		WP_373756450.1
420	NZ_CP124550.1	254201	298221	WP_376754285.1	658699408	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Candidatus Southlakia epibionticum	ML1	WP_376754285.1
422	NZ_JBINIY010000019.1	0	24150	WP_394405862.1	928225603	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus hepaticus	20-1249	WP_394405862.1
421	NZ_JBHRZV010000029.1	50881	94919	WP_380425824.1	907362351	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus caprae	CCUG 67170	WP_380425824.1
418	NZ_UHEZ01000003.1	115330	158825	WP_374188003.1	198404628	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus agalactiae	NCTC11360	WP_374188003.1
426	NZ_JBIQFP010000007.1	57426	101437	WP_406910890.1	945416646	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus hirae	179-I 7C3 NHS	WP_406910890.1
419	NZ_CP152419.1	900174	944428	WP_375555716.1	902372974	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus nidrosiense	SO-23-1	WP_375555716.1
427	NZ_JBGQQX010000033.1	0	26855	WP_407109065.1	945993165	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Ruoffia sp. FAM 26255	FAM 26255	WP_407109065.1
425	NZ_JAYEVO010000011.1	49000	93029	WP_399284017.1	933744906	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus fluvialis	C0104_04	WP_399284017.1
423	NZ_JBGRWJ010000003.1	1501106	1545159	WP_395389461.1	931193942	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus frigidiflavus	FUA3913	WP_395389461.1
429	NZ_BAAFRV010000009.1	61833	97290	WP_407857349.1	949363009	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus hailinensis	N48-2	WP_407857349.1
428	NZ_JARXKU010000003.1	51672	95830	WP_407574660.1	947018516	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus uberis	CMU_AS873	WP_407574660.1
431	NZ_JBHKAZ010000010.1	45771	88585	WP_413137873.1	971125598	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus durans	MC170	WP_413137873.1
432	NZ_CBCPIX010000001.1	0	30462	WP_413521420.1	971964019	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Brochothrix thermosphacta	SAF3327	WP_413521420.1
437	NZ_JBNUPH010000011.1	0	26912	WP_428873901.1	1028222726	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Facklamia sp. P12934	P12934	WP_428873901.1
436	NZ_JACWIV010000001.1	266546	309405	WP_425227978.1	1016010476	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus agalactiae	999	WP_425227978.1
434	NZ_JASHBK010000001.1	4166	48351	WP_414391317.1	974463442	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus parasanguinis	OMI686	WP_414391317.1
433	NZ_CP137138.1	1291993	1336013	WP_413627462.1	971846045	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus vespulae	Mu01	WP_413627462.1
430	NZ_CP175511.1	1257282	1301233	WP_408868726.1	950986837	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Brochothrix campestris	DSM 4712	WP_408868726.1
444	NZ_JBQEMJ010000035.1	0	24467	WP_441656909.1	1064893314	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus viikkiensis		WP_441656909.1
445	NZ_JBQEIL010000001.1	0	26253	WP_442258993.1	1064463794	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus sp.		WP_442258993.1
439	NZ_CP160429.1	1182646	1226762	WP_434780090.1	1045019606	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus dysgalactiae subsp. equisimilis	DMG2201149	WP_434780090.1
443	NZ_JBQDWI010000087.1	0	11841	WP_441651640.1	1064680399	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus devriesei		WP_441651640.1
441	NZ_JBOFKX010000261.1	0	29034	WP_438512322.1	1055154382	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Clostridium chrysemydis		WP_438512322.1
447	NZ_DAWBLO010000010.1	2176	43085	WP_443626033.1	1069617366	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Catenibacterium sp.		WP_443626033.1
449	NZ_JAGYWL010000012.1	16171	60218	WP_446451040.1	451088131	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Tuanshanicoccus lijuaniae	zg-A91	WP_446451040.1
451	NZ_JBRUGD010000003.1	121825	165956	WP_447450248.1	1077973937	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus hongkongensis	SS1932	WP_447450248.1
452	NZ_JBRUGW010000032.1	0	24085	WP_447454818.1	1077972202	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus fryi	SS1919	WP_447454818.1
442	NZ_JBIOQP010000001.1	1844404	1888427	WP_438732295.1	1056164966	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp. DIV1314a	DIV1314a	WP_438732295.1
454	NZ_JBRUEH010000009.1	2274	46372	WP_447461855.1	1077964320	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus orisasini	SS1925	WP_447461855.1
455	NZ_JBSMUK010000012.1	0	33709	WP_455324848.1	1088850178	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Falseniella ignava	SS1478	WP_455324848.1
453	NZ_JBRUDI010000001.1	676101	720226	WP_447456894.1	1077960674	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus porcinus	SS996	WP_447456894.1
448	NZ_CP191772.1	776836	819501	WP_444812598.1	1071030017	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus canis	C4_M2024/115	WP_444812598.1
458	CP172884.1	2483601	2527156	XUB43053.1	1030405446	INSDC	CRISPR-associated endonuclease csn1	Enterococcus sp. DIV2421	DIV2421	XUB43053.1
457	NZ_CM132539.1	1164016	1208183	WP_455456439.1	1089706884	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pluranimalium	S.PDT2410	WP_455456439.1
