domain_id	Accession_pfam	Clan_pfam	Function_pfam	alignment_length	bit_score
HTH_3	PF01381	CL0123	Helix-turn-helix	51.0	36.25
Ribosomal_S14	PF00253	CL0839	Ribosomal protein S14p/S29e	52.0	90.21
SecA_SW	PF07516		SecA Wing and Scaffold domain	212.0	225.05
MurT_C	PF08353	CL0794	MurT ligase C-terminal	111.0	124.06
Ribosomal_L5_C	PF00673		ribosomal L5P family C-terminus	94.0	140.24
Glyco_hydro2_C5	PF18565	CL0159	Glycoside hydrolase family 2 C-terminal domain 5	91.0	43.35
Peripla_BP_4	PF13407	CL0144	Periplasmic binding protein domain	279.0	209.03
Gal_mutarotas_2	PF13802	CL0103	Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain	164.0	100.94
Ribosomal_S16	PF00886		Ribosomal protein S16	59.0	94.72
DUF6688	PF20394		DUF6688 N-terminal domain	222.0	198.05
KAP_NTPase	PF07693	CL0023	KAP family P-loop domain	289.0	107.6
EF_TS	PF00889		Elongation factor TS	197.0	244.94
DDE_Tnp_ISL3	PF01610	CL0219	Transposase	247.0	159.28
Glyco_hydro_20b	PF02838	CL0546	Glycosyl hydrolase family 20, domain 2	134.0	35.96
HTH_1	PF00126	CL0123	Bacterial regulatory helix-turn-helix protein, lysR family	60.0	71.08
GGDEF_2	PF17853	CL0276	GGDEF-like domain	130.0	27.78
DUF6442	PF20040		Family of unknown function (DUF6442)	103.0	76.64
TsaD	PF00814	CL0108	tRNA N6-adenosine threonylcarbamoyltransferase	287.0	327.59
Peptidase_C26	PF07722	CL0014	Peptidase C26	206.0	234.99
CBS	PF00571		CBS domain	57.0	36.23
TMP-TENI	PF02581	CL0036	Thiamine monophosphate synthase	181.0	200.62
PrcB_C	PF14343		PrcB C-terminal	61.0	49.4
DUF1349	PF07081	CL0004	Protein of unknown function (DUF1349)	180.0	222.33
AAA_21	PF13304	CL0023	AAA domain, putative AbiEii toxin, Type IV TA system	171.0	34.67
Wzy_C	PF04932	CL0499	O-Antigen ligase	132.0	75.35
Meth_synt_1	PF08267	CL0036	Cobalamin-independent synthase, N-terminal domain	313.0	366.97
AAA_24	PF13479	CL0023	AAA domain	181.0	40.47
PemK_toxin	PF02452	CL0010	PemK-like, MazF-like toxin of type II toxin-antitoxin system	106.0	74.05
DAHP_synth_1	PF00793	CL0036	DAHP synthetase I family	319.0	155.2
HisKA_3	PF07730	CL0025	Histidine kinase	69.0	58.57
SUFBD_core	PF01458		SUF system FeS cluster assembly, SufBD core domain	235.0	261.88
Malic_M	PF03949	CL0063	Malic enzyme, NAD binding domain	257.0	329.58
UvrA_inter	PF17760		UvrA interaction domain	109.0	140.19
DUF3642	PF12182	CL0116	Bacterial lipoprotein	85.0	47.01
FBP_C	PF16571	CL0839	FBP C-terminal treble-clef zinc-finger	111.0	50.75
DUF4158	PF13700		Domain of unknown function (DUF4158)	165.0	150.25
TrmK	PF04816	CL0063	tRNA (adenine(22)-N(1))-methyltransferase	209.0	257.25
PTS_IIB	PF02302	CL0031	PTS system, Lactose/Cellobiose specific IIB subunit	95.0	79.73
Peptidase_M50	PF02163	CL0126	Peptidase family M50	397.0	222.03
Amidase	PF01425		Amidase	447.0	246.43
GFA	PF04828	CL0080	Glutathione-dependent formaldehyde-activating enzyme	111.0	55.44
HTH_32	PF13565	CL0123	Homeodomain-like domain	77.0	25.38
DUF2508	PF10704		Protein of unknown function (DUF2508)	69.0	57.7
EPSP_synthase	PF00275	CL0290	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	418.0	402.44
GutM	PF06923		Glucitol operon activator protein (GutM)	108.0	106.81
HHH_3	PF12836	CL0198	Helix-hairpin-helix motif	49.0	57.82
SWIM	PF04434		SWIM zinc finger	23.0	24.05
tRNA_NucTran2_2	PF13735	CL0237	tRNA nucleotidyltransferase domain 2 putative	149.0	130.68
DNA_pol3_gamma3	PF12169	CL0604	DNA polymerase III subunits gamma and tau domain III	137.0	35.19
CbiQ	PF02361		Cobalt transport protein	225.0	189.13
Amidoligase_2	PF12224	CL0286	Putative amidoligase enzyme	248.0	59.39
Ribonucleas_3_3	PF14622	CL0539	Ribonuclease-III-like	133.0	119.13
PGM_PMM_IV	PF00408	CL0407	Phosphoglucomutase/phosphomannomutase, C-terminal domain	70.0	72.99
DUF3847	PF12958		Protein of unknown function (DUF3847)	71.0	45.76
ACP_syn_III_C	PF08541	CL0046	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	90.0	109.77
UPF0014	PF03649		Uncharacterised protein family (UPF0014)	238.0	264.41
DapB_N	PF01113	CL0063	Dihydrodipicolinate reductase, N-terminus	129.0	39.78
FeoB_C	PF07664		Ferrous iron transport protein B C terminus	54.0	71.64
Fucosidase_C	PF16757	CL0369	Alpha-L-fucosidase C-terminal domain	95.0	24.8
Ferritin	PF00210	CL0044	Ferritin-like domain	147.0	106.0
BD-FAE	PF20434	CL0028	BD-FAE	197.0	130.42
Aldedh	PF00171	CL0099	Aldehyde dehydrogenase family	452.0	385.47
Na_Pi_cotrans	PF02690		Na+/Pi-cotransporter	271.0	110.69
Amidase_5	PF05382	CL0125	Bacteriophage peptidoglycan hydrolase	154.0	70.32
Anth_synt_I_N	PF04715		Anthranilate synthase component I, N terminal region	139.0	98.79
CMD	PF02627	CL0423	Carboxymuconolactone decarboxylase family	86.0	74.18
T2SSF_N	PF28597		Type II secretion system protein F, N-terminal domain	43.0	38.62
CoaE	PF01121	CL0023	Dephospho-CoA kinase	181.0	178.27
NADH-G_4Fe-4S_3	PF10588		NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	41.0	36.91
Glucosaminidase	PF01832	CL0037	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	130.0	135.44
LepA_C	PF06421		GTP-binding protein LepA C-terminus	107.0	169.05
UvrC_RNaseH_dom	PF08459	CL0219	UvrC RNAse H endonuclease domain	154.0	178.73
RecJ_OB	PF17768	CL0021	RecJ OB domain	107.0	102.45
MarR_2	PF12802	CL0123	MarR family	58.0	44.53
DrrA1-3_C	PF13732	CL0704	ATP-binding protein DrrA1-3-like, C-terminal domain	82.0	60.34
DHO_dh	PF01180	CL0036	Dihydroorotate dehydrogenase	290.0	294.7
ChitinaseA_N	PF08329	CL0159	Chitinase A, N-terminal domain	105.0	25.71
Integrase_DNA	PF02920	CL0081	DNA binding domain of tn916 integrase	71.0	125.69
Gly_radical	PF01228	CL0339	Glycine radical	106.0	116.37
Ank_2	PF12796	CL0465	Ankyrin repeats (3 copies)	66.0	25.86
F420_oxidored	PF03807	CL0063	NADP oxidoreductase coenzyme F420-dependent	96.0	68.36
ASCH	PF04266	CL0178	ASCH domain	121.0	82.86
ATP_bind_3	PF01171	CL0039	PP-loop domain	203.0	116.63
DUF4355	PF14265		Capsid assembly scaffolding protein Gp46	130.0	34.6
P-II	PF00543	CL0089	Nitrogen regulatory protein P-II	107.0	83.48
DUF2500	PF10694	CL0851	Protein of unknown function (DUF2500)	100.0	83.22
CtsR	PF05848	CL0123	CtsR N-terminal HTH domain	70.0	108.26
FolB	PF02152	CL0334	Dihydroneopterin aldolase	113.0	120.61
VanZ	PF04892		VanZ like family	136.0	34.87
SecY	PF00344	CL0376	SecY	347.0	365.54
SBF	PF01758	CL0064	Sodium Bile acid symporter family	181.0	134.01
Toprim_2	PF13155	CL0413	Toprim-like	84.0	79.71
NAGPA	PF09992		Phosphodiester glycosidase	183.0	95.48
Glyco_hydro_42	PF02449	CL0036	Beta-galactosidase	373.0	486.72
GCV_H	PF01597	CL0105	Glycine cleavage H-protein	102.0	75.18
YSIRK_signal	PF04650		YSIRK type signal peptide	25.0	31.3
DUF3781	PF12636		Protein of unknown function (DUF3781)	72.0	95.51
Lyase_1	PF00206		Lyase	330.0	302.5
Prismane	PF03063		Prismane/CO dehydrogenase family	521.0	562.67
Peptidase_C15	PF01470	CL0379	Pyroglutamyl peptidase	202.0	260.03
ABC_tran_Xtn	PF12848	CL0023	ABC transporter	87.0	84.37
FA_synthesis	PF02504	CL0270	Fatty acid synthesis protein	323.0	377.72
GTP-bdg_N	PF13167		GTP-binding GTPase N-terminal	88.0	102.48
LacI	PF00356	CL0123	Bacterial regulatory proteins, lacI family	47.0	61.09
DUF998	PF06197	CL0412	Protein of unknown function (DUF998)	195.0	47.04
EII-Sor	PF03609		PTS system sorbose-specific iic component	234.0	216.12
tRNA-synt_1c	PF00749	CL0039	tRNA synthetases class I (E and Q), catalytic domain	323.0	382.3
FabA	PF07977	CL0050	FabA-like domain	131.0	110.73
MutH	PF02976	CL0236	DNA mismatch repair enzyme MutH	112.0	74.51
NAD_binding_10	PF13460	CL0063	NAD(P)H-binding	192.0	49.15
Phage_int_SAM_1	PF02899	CL0469	Phage integrase, N-terminal SAM-like domain	84.0	68.8
DHquinase_I	PF01487	CL0036	Type I 3-dehydroquinase	223.0	172.34
DUF6287	PF19804		Domain of unknown function (DUF6287)	124.0	31.88
YegS_C	PF19279	CL0701	YegS C-terminal NAD kinase beta sandwich-like domain	164.0	35.84
Lipoprotein_Ltp	PF07553		Host cell surface-exposed lipoprotein	143.0	74.01
YdeJ	PF27223		YdeJ	122.0	108.55
Exonuc_VII_S	PF02609		Exonuclease VII small subunit	52.0	79.93
T6SS_Tdi1_C	PF08906		T6SS immunity protein Tdi1, C-terminal	74.0	61.49
Peptidase_M10	PF00413	CL0126	Matrixin	145.0	37.52
DeaD_dimer	PF25399		RNA helicase DeaD dimerization domain	60.0	30.33
GAF_2	PF13185	CL0161	GAF domain	128.0	62.16
SAF	PF08666	CL0489	SAF domain	57.0	35.36
HHH_5	PF14520	CL0198	Helix-hairpin-helix domain	55.0	28.25
HicA_toxin	PF07927		HicA toxin of bacterial toxin-antitoxin,	58.0	62.77
Pep_deformylase	PF01327		Polypeptide deformylase	176.0	146.21
AA_permease_2	PF13520	CL0062	Amino acid permease	447.0	144.61
DHQ_synthase	PF01761	CL0224	3-dehydroquinate synthase N-terminal	115.0	157.48
S-AdoMet_synt_N	PF00438		S-adenosylmethionine synthetase, N-terminal domain	86.0	92.7
cobW	PF02492	CL0023	CobW/HypB/UreG, nucleotide-binding domain	169.0	86.57
SAM_HAT_N	PF01887		SAM hydroxide adenosyltransferase N-terminal domain	150.0	173.23
DUF1541	PF07563	CL0010	Protein of unknown function (DUF1541)	52.0	87.94
HbpS-like	PF03928	CL0161	Haem degrading protein HbpS-like	128.0	114.7
Thiol_cytolysin	PF01289	CL0293	Thiol-activated cytolysin	353.0	496.74
DUF2344	PF10105	CL0649	Uncharacterized protein conserved in bacteria (DUF2344)	200.0	157.77
KH_NusA_2nd	PF26594	CL0007	NusA-like second KH domain	68.0	87.93
AAA_16	PF13191	CL0023	AAA ATPase domain	107.0	15.42
NIR_SIR	PF01077		Nitrite and sulphite reductase 4Fe-4S domain	143.0	110.16
Fumerase_C	PF05683		Fumarase C-terminus	180.0	132.65
DDE_Tnp_1_4	PF13701	CL0219	Transposase DDE domain group 1	113.0	116.38
Thioredoxin_5	PF13743	CL0172	Thioredoxin	178.0	133.69
Methyltransf_11	PF08241	CL0063	Methyltransferase domain	97.0	65.71
GGDEF	PF00990	CL0276	Diguanylate cyclase, GGDEF domain	146.0	106.68
Cas_Cas5d	PF09704	CL0362	CRISPR-associated protein (Cas_Cas5)	211.0	124.3
GSHPx	PF00255	CL0172	Glutathione peroxidase	108.0	129.18
Mur_ligase	PF01225	CL0063	Mur ligase family, catalytic domain	70.0	25.79
Trypsin	PF00089	CL0124	Trypsin	210.0	36.44
PfkB	PF00294	CL0118	pfkB family carbohydrate kinase	324.0	120.6
ADH_N	PF08240	CL0296	Alcohol dehydrogenase GroES-like domain	125.0	84.67
RepB_C	PF21861		Replication protein RepB, C-terminal	59.0	95.36
PocR	PF10114	CL0165	Sensory domain found in PocR	159.0	128.86
IF2_N	PF04760	CL0123	Translation initiation factor IF-2, N-terminal region	52.0	53.57
YlmH_RBD	PF17774	CL0221	Putative RNA-binding domain in YlmH	84.0	73.62
TOBE_2	PF08402	CL0021	TOBE domain	70.0	25.9
HTH_23	PF13384	CL0123	Homeodomain-like domain	42.0	26.72
ROK	PF00480	CL0108	ROK family	295.0	120.73
DUF3604	PF12228	CL0036	Protein of unknown function (DUF3604)	99.0	11.65
Stealth_CR2	PF11380		Stealth protein CR2, conserved region 2	107.0	123.39
NYN_YacP	PF05991	CL0280	YacP-like NYN domain	156.0	167.87
DUF3789	PF12664		Protein of unknown function (DUF3789)	32.0	52.24
YscO	PF07321	CL0419	Type III secretion protein YscO	140.0	25.97
PhdYeFM_antitox	PF02604	CL0871	Antitoxin Phd_YefM, type II toxin-antitoxin system	72.0	34.06
MshEN	PF05157	CL0793	MshEN domain	90.0	73.18
HTH_Tnp_ISL3	PF13542	CL0123	Helix-turn-helix domain of transposase family ISL3	52.0	27.54
Hpr_kinase_N	PF02603	CL0063	HPr Serine kinase N terminus	125.0	141.53
DUF2812	PF11193		Protein of unknown function (DUF2812)	140.0	46.22
CRISPR_assoc	PF08798	CL0362	CRISPR associated protein	211.0	199.96
DUF1093	PF06486		Protein of unknown function (DUF1093)	84.0	74.31
Asparaginase	PF00710		Asparaginase, N-terminal	191.0	216.11
NAPRTase_N	PF17767	CL0105	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain	124.0	140.44
dTDP_sugar_isom	PF00908	CL0029	dTDP-4-dehydrorhamnose 3,5-epimerase	171.0	240.42
DUF6198	PF19700	CL0181	Family of unknown function (DUF6198)	190.0	92.66
DUF5592	PF17332		Family of unknown function (DUF5592)	90.0	62.34
AAA_lid_9	PF17871	CL0671	AAA lid domain	105.0	110.39
E1_dh	PF00676	CL0254	Dehydrogenase E1 component	300.0	288.57
RsgA_GTPase	PF03193	CL0023	RsgA GTPase	80.0	18.44
Aminotran_5	PF00266	CL0061	Aminotransferase class-V	350.0	142.45
AAA_30	PF13604	CL0023	AAA domain	209.0	133.06
Peptidase_C69	PF03577	CL0052	Peptidase family C69	395.0	562.83
HsdM_N	PF12161	CL0884	HsdM N-terminal domain	128.0	93.2
DUF3130	PF11328	CL0352	Protein of unknown function (DUF3130	56.0	81.35
DUF378	PF04070		Domain of unknown function (DUF378)	60.0	97.23
DUF961	PF06125	CL0021	Bacterial protein of unknown function (DUF961)	102.0	114.1
Rsbr_N	PF08678	CL0090	Rsbr N terminal	131.0	120.56
DUF1307	PF06998		Protein of unknown function (DUF1307)	121.0	73.64
CorA	PF01544	CL0788	CorA-like Mg2+ transporter protein	285.0	165.02
YjbR	PF04237	CL0631	YjbR	107.0	49.17
IMS_C	PF11799		impB/mucB/samB family C-terminal domain	110.0	79.33
PDDEXK_9	PF08011	CL0236	PD-(D/E)XK nuclease superfamily	101.0	65.99
Ribosomal_L18p	PF00861	CL0267	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	115.0	166.15
B12-binding	PF02310		B12 binding domain	114.0	60.14
Adenine_deam_C	PF13382		Adenine deaminase C-terminal domain	168.0	166.08
HisKA_2	PF07568	CL0025	Histidine kinase	75.0	72.37
DUF3290	PF11694		Protein of unknown function (DUF3290)	144.0	182.76
Acetyltransf_10	PF13673	CL0257	Acetyltransferase (GNAT) domain	139.0	32.67
Sulfate_transp	PF00916	CL0062	Sulfate permease family	364.0	276.53
ATP-cone	PF03477		ATP cone domain	89.0	76.22
PK	PF00224	CL0036	Pyruvate kinase, barrel domain	324.0	459.94
SBP_bac_5	PF00496	CL0177	Bacterial extracellular solute-binding proteins, family 5 Middle	349.0	270.75
Peptidase_S8	PF00082		Subtilase family	326.0	105.16
ILVD_EDD_N	PF00920		Dihydroxy-acid/6-phosphogluconate dehydratase N-terminal	320.0	448.95
DUF3744	PF12558		ATP-binding cassette cobalt transporter	75.0	54.3
YozE_SAM_like	PF06855		YozE SAM-like fold	61.0	71.44
POTRA_1	PF08478	CL0191	POTRA domain, FtsQ-type	72.0	37.37
zf-C4_ClpX	PF06689	CL0839	ClpX C4-type zinc finger	38.0	57.36
Na_H_Exchanger	PF00999	CL0064	Sodium/hydrogen exchanger, transmembrane	382.0	136.23
PEP-utilizers	PF00391	CL0364	PEP-utilising enzyme, mobile domain	74.0	80.18
HTH_34	PF13601	CL0123	Winged helix DNA-binding domain	77.0	23.95
EII-GUT	PF03608		PTS system enzyme II sorbitol-specific factor	167.0	245.77
TseB	PF17881	CL0320	Cell wall elongation regulator TseB-like domain	45.0	47.61
DUF2992	PF11208		Protein of unknown function (DUF2992)	131.0	148.61
DUF7763	PF24954		Domain of unknown function (DUF7763)	75.0	110.8
Dehydratase_MU	PF02288		Dehydratase medium subunit	105.0	93.04
GmrSD_C	PF07510	CL0263	GmrSD restriction endonucleases, C-terminal domain	195.0	40.67
DUF4097	PF13349	CL0268	Toastrack DUF4097	308.0	48.11
FdhD-NarQ	PF02634	CL0109	FdhD/NarQ family	237.0	283.6
Toprim	PF01751	CL0413	Toprim domain	113.0	65.15
Glyco_hydro_2_C	PF02836	CL0036	Glycosyl hydrolases family 2, TIM barrel domain	275.0	98.25
oligo_HPY	PF08352		Oligopeptide/dipeptide transporter, C-terminal region	45.0	28.75
MTES_1575	PF18741	CL0236	REase_MTES_1575	94.0	103.2
FCD	PF07729	CL0388	FCD domain	123.0	80.67
Methylase_S	PF01420	CL0477	Type I restriction modification DNA specificity domain	176.0	94.39
AAA_assoc_2	PF16193	CL0671	AAA C-terminal domain	82.0	91.16
UxuA	PF03786	CL0036	D-mannonate dehydratase (UxuA)	353.0	468.52
AAA_22	PF13401	CL0023	AAA domain	130.0	21.84
DUF4767	PF15983		Domain of unknown function (DUF4767)	135.0	134.16
FN3_DSCAM-DSCAML_C	PF25059	CL0159	DSCAM/DSCAML C-terminal Fn3-like domain	60.0	10.9
Ribosomal_L30	PF00327		Ribosomal protein L30p/L7e	51.0	84.42
Choline_bind_1	PF01473	CL0694	Putative cell wall binding repeat	13.0	14.05
SH3_5	PF08460	CL0010	Bacterial SH3 domain	65.0	60.67
DUF6359	PF19886		Domain of unknown function (DUF6359)	104.0	67.22
DUF722	PF05263	CL0123	Protein of unknown function (DUF722)	134.0	123.46
Rieske_2	PF13806	CL0516	Rieske-like [2Fe-2S] domain	97.0	51.55
MerR_1	PF13411	CL0123	MerR HTH family regulatory protein	69.0	62.34
Metallophos	PF00149	CL0163	Calcineurin-like phosphoesterase	207.0	39.12
Toprim_C_rpt	PF13368		Topoisomerase C-terminal repeat	174.0	51.66
DUF4230	PF14014		Protein of unknown function (DUF4230)	153.0	34.14
YqfQ	PF14181		YqfQ-like protein	140.0	46.43
Polysacc_synt_C	PF14667	CL0029	Polysaccharide biosynthesis C-terminal domain	111.0	161.22
CitG	PF01874		ATP:dephospho-CoA triphosphoribosyl transferase	256.0	206.32
Ppx-GppA_III	PF21447	CL0237	Ppx/GppA phosphatase, domain III	170.0	79.94
Amidase_3	PF01520	CL0865	N-acetylmuramoyl-L-alanine amidase	174.0	128.26
YqaJ	PF09588	CL0236	YqaJ-like viral recombinase domain	163.0	111.32
DUF4430	PF14478	CL0072	Domain of unknown function (DUF4430)	67.0	69.92
GTP_cyclohydroI	PF01227	CL0334	GTP cyclohydrolase I	179.0	263.59
IMS_HHH	PF11798	CL0198	IMS family HHH motif	32.0	28.99
Flot	PF15975		Flotillin	120.0	30.35
ATP-synt_A	PF00119		ATP synthase A chain	211.0	176.97
DUF2922	PF11148		Protein of unknown function (DUF2922)	69.0	76.32
GFO_IDH_MocA_C	PF02894	CL0139	Oxidoreductase family, C-terminal alpha/beta domain	208.0	107.24
AzlD	PF05437		Branched-chain amino acid transport protein (AzlD)	95.0	77.91
SAM_GIDA_C	PF13932	CL0003	tRNA modifying enzyme MnmG/GidA C-terminal helical bundle	71.0	78.59
PAS_3	PF08447	CL0183	PAS fold	71.0	16.97
DUF1797	PF08796		Protein of unknown function (DUF1797)	68.0	82.86
GBS104-like_Ig	PF21426	CL0204	Tip pilin GBS104-like, Ig-like domain	136.0	60.34
WxL	PF13731		WxL domain surface cell wall-binding	203.0	60.59
FDX-ACB	PF03147		Ferredoxin-fold anticodon binding domain	94.0	98.25
Methyltransf_31	PF13847	CL0063	Methyltransferase domain	176.0	42.01
DUF3997	PF13162		Protein of unknown function (DUF3997)	104.0	31.14
Abhydrolase_1	PF00561	CL0028	alpha/beta hydrolase fold	251.0	116.39
Cas_Cas7	PF05107		CRISPR-associated protein Cas7	277.0	222.94
ADSL_C	PF10397		Adenylosuccinate lyase C-terminus	79.0	80.37
DHQS_C	PF24621	CL0886	3-dehydroquinate synthase C-terminal	143.0	160.71
Flavodoxin_4	PF12682	CL0042	Flavodoxin	151.0	93.92
CCDC113_CCDC96_CC	PF13870		CCDC113/CCDC96, coiled-coil	177.0	17.14
Stealth_CR4	PF17103		Stealth protein CR4, conserved region 4	43.0	31.85
SIS	PF01380	CL0067	SIS domain	131.0	73.36
GFO_IDH_MocA	PF01408	CL0063	Oxidoreductase family, NAD-binding Rossmann fold	124.0	89.01
Anticodon_2	PF19269		Anticodon binding domain	143.0	94.82
PepSY	PF03413	CL0320	Peptidase propeptide and YPEB domain	64.0	19.84
Glutaredoxin	PF00462	CL0172	Glutaredoxin	57.0	51.69
Cons_hypoth698	PF03601	CL0064	Conserved hypothetical protein 698	310.0	277.65
YopX	PF09643		YopX protein	122.0	86.26
RNase_T	PF00929	CL0219	Exonuclease	155.0	133.17
AsnC_trans_reg	PF01037	CL0032	Lrp/AsnC ligand binding domain	85.0	71.36
DUF1648	PF07853		Domain of unknown function (DUF1648)	49.0	61.47
PadR	PF03551	CL0123	Transcriptional regulator PadR-like family	69.0	60.55
ssDNA-exonuc_C	PF10141		Single-strand DNA-specific exonuclease, C terminal domain	197.0	168.54
Fe_hyd_SSU	PF02256		Iron hydrogenase small subunit	56.0	69.78
OTCace_N	PF02729		Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain	141.0	159.56
BNR_2	PF13088	CL0186	BNR repeat-like domain	314.0	11.49
Beta-lactamase2	PF13354	CL0013	Beta-lactamase enzyme family	235.0	87.65
Molybdopterin	PF00384		Molybdopterin oxidoreductase	425.0	234.18
SAM_DprA	PF18255	CL0003	DNA processing protein A sterile alpha motif domain	62.0	98.9
AlaDh_PNT_N	PF05222	CL0063	Alanine dehydrogenase/PNT, N-terminal domain	132.0	158.71
LysR_substrate	PF03466	CL0177	LysR substrate binding domain	184.0	85.47
CC_PcsB	PF24568		Peptidoglycan hydrolase PcsB, coiled-coil domain	75.0	82.35
HSP20	PF00011	CL0190	Hsp20/alpha crystallin family	101.0	70.36
Ribosomal_L22	PF00237		Ribosomal protein L22p/L17e	104.0	143.16
ADK	PF00406	CL0023	Adenylate kinase	187.0	207.58
GTP_EFTU	PF00009	CL0023	Elongation factor Tu GTP binding domain	181.0	187.49
His_kinase	PF06580		Histidine kinase	79.0	68.84
Hydrolase_4	PF12146	CL0028	Serine aminopeptidase, S33	141.0	25.88
Sod_Fe_C	PF02777		Iron/manganese superoxide dismutases, C-terminal domain	101.0	141.28
HPPK	PF01288		7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	129.0	141.58
ATP-synt_ab_C	PF00306		ATP synthase alpha/beta chain, C terminal domain	127.0	152.83
DUF2304	PF10066		Uncharacterized conserved protein (DUF2304)	106.0	85.91
LemA	PF04011		LemA family	151.0	177.98
Sua5_C	PF03481	CL0113	Threonylcarbamoyl-AMP synthase, C-terminal domain	138.0	104.26
MbhE	PF20501		MBH, subunit E	67.0	35.38
IMS_HHH_1	PF21999	CL0198	DNA polymerase-iota, thumb domain	52.0	22.8
ARM_TT21_N	PF25062	CL0020	Tetratricopeptide repeat protein 21 N-terminal ARM repeat	460.0	14.72
Clp_N	PF02861		Clp repeat (R) N-terminal domain	204.0	77.76
DUF1054	PF06335		Protein of unknown function (DUF1054)	194.0	231.87
S1_2	PF13509	CL0021	S1 domain	56.0	39.6
Fer2_4	PF13510	CL0486	2Fe-2S iron-sulfur cluster binding domain	77.0	57.54
NfeD	PF01957	CL0021	NfeD-like C-terminal, partner-binding domain	57.0	51.51
Virul_fac_BrkB	PF03631		Virulence factor BrkB	256.0	147.74
Ribosomal_L27	PF01016		Ribosomal L27 protein	80.0	116.05
Ribosomal_L19	PF01245	CL0010	Ribosomal protein L19	111.0	173.71
DUF4422	PF14393		Domain of unknown function (DUF4422)	222.0	280.0
MR_MLE_N	PF02746	CL0227	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain	99.0	67.81
BcrAD_BadFG	PF01869	CL0108	BadF/BadG/BcrA/BcrD ATPase family	255.0	127.71
HTH_16	PF12645	CL0123	Helix-turn-helix domain	65.0	95.85
Big_3	PF07523	CL0159	Bacterial Ig-like domain (group 3)	76.0	25.04
DUF5412	PF17428		Family of unknown function (DUF5412)	111.0	55.46
EFP	PF01132	CL0021	Elongation factor P (EF-P) OB domain	59.0	80.19
Transcrip_reg	PF01709		TACO1/YebC second and third domain	158.0	203.57
YrhK	PF14145		YrhK-like protein	57.0	44.75
Tli3	PF24316		T6SS Tli3 immunity protein	222.0	6.96
His_Phos_1	PF00300	CL0071	Histidine phosphatase superfamily (branch 1)	238.0	61.79
PTS_EIIB	PF00367		phosphotransferase system, EIIB	33.0	52.58
Hypoth_Ymh	PF09509		Protein of unknown function (Hypoth_ymh)	121.0	116.2
Ligase_CoA	PF00549	CL0506	CoA-ligase	157.0	125.75
Endotoxin_C2	PF18449	CL0891	Pesticidal crystal protein Cry1Aa, domain IV	59.0	19.55
GmrSD_N	PF03235	CL0248	GmrSD restriction endonuclease, N-terminal domain	215.0	108.73
Ribosomal_L14	PF00238		Ribosomal protein L14p/L23e	122.0	183.47
DUF2705	PF10920	CL0181	Protein of unknown function (DUF2705)	229.0	38.86
DUF4435	PF14491		Protein of unknown function (DUF4435)	234.0	38.83
DUF1294	PF06961		Protein of unknown function (DUF1294)	55.0	80.48
Glyco_transf_28	PF03033	CL0113	Glycosyltransferase family 28 N-terminal domain	141.0	134.04
Amino_oxidase	PF01593	CL0063	Flavin containing amine oxidoreductase	447.0	158.81
MS_channel_1st_1	PF05552		Mechanosensitive ion channel, conserved TM helix	50.0	56.3
Pept_tRNA_hydro	PF01195	CL0408	Peptidyl-tRNA hydrolase	182.0	221.84
DUF4143	PF13635	CL0236	Domain of unknown function (DUF4143)	165.0	92.92
PYNP_C	PF07831	CL0105	Pyrimidine nucleoside phosphorylase C-terminal domain	76.0	55.25
SRP54	PF00448	CL0023	SRP54-type protein, GTPase domain	197.0	249.58
TPR_19	PF14559	CL0020	Tetratricopeptide repeat	338.0	16.35
DUF454	PF04304		Protein of unknown function (DUF454)	115.0	134.64
UvrA_DNA-bind	PF17755		UvrA DNA-binding domain	109.0	108.81
AAA_14	PF13173	CL0023	AAA domain	136.0	98.92
EutA	PF06277	CL0108	Ethanolamine utilisation protein EutA	474.0	668.84
EFG_III	PF14492	CL0437	Elongation Factor G, domain III	77.0	29.16
YbbR	PF07949		YbbR-like protein	68.0	39.96
Halogen_Hydrol	PF10112		5-bromo-4-chloroindolyl phosphate hydrolysis protein	174.0	85.92
Usp	PF00582	CL0039	Universal stress protein family	142.0	132.71
GKRP-like_C	PF20741	CL0214	C-terminal lid domain of glucokinase regulatory protein	40.0	21.26
OAD_beta	PF03977	CL0064	Na+-transporting oxaloacetate decarboxylase beta subunit	355.0	497.68
Cu-oxidase_4	PF02578	CL0663	Multi-copper polyphenol oxidoreductase laccase	228.0	185.27
PS_pyruv_trans	PF04230	CL0113	Polysaccharide pyruvyl transferase	287.0	67.12
Excalibur	PF05901		Excalibur calcium-binding domain	36.0	58.39
DUF1858	PF08984		Domain of unknown function (DUF1858)	59.0	65.11
Pribosyltran_N	PF13793	CL0533	N-terminal domain of ribose phosphate pyrophosphokinase	117.0	188.02
