leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	Bas##	morphotype	ICTV family	ICTV subfamily	ICTV genus	ICTV species	phage name	start_win	end_win	strand_win	start_target	end_target	seqid	align_gene
97	59	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Justusliebigvirus	Escherichia phage PaulScherrer	Bas60	myovirus		Stephanstirmvirinae	Justusliebigvirus	unclassified	Escherichia phage PaulScherrer	0	150425	+	0	150425	MZ501100.1	
98	99	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage VerenaGrendelmeier_Bas101	Bas101	myovirus			Wifcevirus	unclassified	Escherichia phage VerenaGrendelmeier	0	68694	+	0	68694	PQ850631.1	
99	46	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Mosigvirus	Mosigvirus phapec2	Bas47	myovirus	Straboviridae	Tevenvirinae	Mosigvirus	Shigella virus UTAM	Escherichia phage AlbertHofmann	0	168968	+	0	168968	MZ501047.1	
100	7	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Tlsvirus	Tlsvirus danielbernouli	Bas08	siphovirus	Drexlerviridae	Tempevirinae	Tlsvirus	unclassified	Escherichia phage DanielBernoulli	0	50731	+	0	50731	MZ501059.1	
101	4	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Warwickvirus	Escherichia phage PeterMerian	Bas05	siphovirus	Drexlerviridae	Tempevirinae	Warwickvirus	unclassified	Escherichia phage PeterMerian	0	47775	+	0	47775	MZ501101.1	
102	88	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage SkaterBoy_Bas90	Bas90	podovirus		Gordonclarkvirinae	Kuravirus	unclassified	Escherichia phage SkaterBoy	0	77534	+	0	77534	PQ850626.1	
103	62	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Andersonviridae	Felixounavirus	Felixounavirus johannrwettstein	Bas63	myovirus		Ounavirinae	Felixounavirus	unclassified	Escherichia phage JohannRWettstein	0	87100	+	0	87100	MZ501086.1	
104	8	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Changchunvirus	Changchunvirus paulsarasin	Bas09	siphovirus	Drexlerviridae	Tempevirinae	Changchunvirus	unclassified	Escherichia phage PaulSarasin	0	51285	+	0	51285	MZ501099.1	
105	109	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Autographivirales	Autotranscriptaviridae	Teseptimavirus	Teseptimavirus T7	n.a.	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	Escherichia virus T7	Escherichia phage T7 (reference)	0	39937	+	0	39937	NC_001604.1	
106	35	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus ecombl75	Bas36	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage Paracelsus	0	167732	+	0	167732	MZ501096.1	
107	30	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Tequintavirus	Tequintavirus DaisyDussoix	Bas31	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	unclassified	Escherichia phage DaisyDussoix	0	113532	+	0	113532	MZ501058.1	
108	17	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Dhillonvirus	Dhillonvirus oekolampad	Bas18	siphovirus			Dhillonvirus	Dhillonvirus	Escherichia phage Oekolampad	0	44882	+	0	44882	MZ501095.1	
109	69	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage LotteLoewe_Bas71	Bas71	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage LotteLoewe	0	42712	+	0	42712	PQ850615.1	
110	57	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus murica	Bas58	myovirus		Vequintavirinae	Vequintavirus	unclassified (with CM1)	Escherichia phage HeinrichReichert	0	136906	+	0	136906	MZ501073.1	
111	11	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Sertoctavirus	Sertoctavirus brunomanser	Bas12	siphovirus	Drexlerviridae	Tunavirinae	Sertoctavirus	unclassified	Escherichia phage BrunoManser	0	49298	+	0	49298	MZ501053.1	
112	10	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Henuseptimavirus	Henuseptimavirus johannburckhardt	Bas11	siphovirus	Drexlerviridae	Tempevirinae	unclassified	unclassified	Escherichia phage JohannLBurckhardt	0	49715	+	0	49715	MZ501085.1	
113	18	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Nonagvirus	Escherichia phage ChristophMerian	Bas19	siphovirus		Queuovirinae	Nonagvirus	unclassified	Escherichia phage ChristophMerian	0	58073	+	0	58073	MZ501057.1	
114	44	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Escherichia phage PaulHMueller	Bas45	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage PaulHMueller	0	170053	+	0	170053	MZ501098.1	
