domain_id	Accession_pfam	Clan_pfam	EC_phrog	Function_pfam	Function_phrog	L1_phrog	alignment_length	bit_score
phrog_4109					hypothetical	unknown function	193.0	349.03
phrog_27558					hypothetical	unknown function	72.0	145.46
phrog_36680					hypothetical	unknown function	103.0	166.43
Phage_T4_Y07A	PF26879			Bacteriophage T4 protein Y07A			87.0	210.17
DNA_Packaging_2	PF11123			DNA packaging protein			80.0	54.34
phrog_21152					hypothetical	unknown function	112.0	258.08
phrog_11370					hypothetical	unknown function	120.0	250.44
phrog_288					hypothetical	unknown function	60.0	91.23
phrog_4524					hypothetical	unknown function	216.0	271.5
phrog_154					replication initiation protein	DNA, RNA and nucleotide metabolism	91.0	141.07
phrog_4230					hypothetical	unknown function	70.0	137.27
DnaT_2	PF20557			Putative DnaT-like ssDNA binding protein			165.0	125.98
phrog_17168					hypothetical	unknown function	81.0	55.74
Phage-scaffold	PF09306			Bacteriophage, scaffolding protein			302.0	564.95
phrog_3126					hypothetical	unknown function	105.0	205.17
PIF1	PF05970	CL0023		PIF1-like helicase			209.0	113.07
phrog_85					thymidylate synthase	DNA, RNA and nucleotide metabolism	310.0	208.43
AAA_30	PF13604	CL0023		AAA domain			203.0	83.37
DUF7418	PF24193			Domain of unknown function (DUF7418)			109.0	91.64
phrog_36910					hypothetical	unknown function	115.0	269.36
phrog_1711					terminase	head and packaging	397.0	695.63
phrog_17780					hypothetical	unknown function	63.0	133.85
phrog_26149					deoxynucleoside monophosphate kinase	other	175.0	279.45
phrog_2086					hypothetical	unknown function	155.0	251.56
phrog_14981					hypothetical	unknown function	47.0	122.05
Fn3-I_PB4	PF24169	CL0159		Straight fiber protein PB4 first Fn3-like domain			88.0	133.45
Lipase_GDSL_2	PF13472	CL0264		GDSL-like Lipase/Acylhydrolase family			178.0	47.93
Phage_T7_55	PF11247			Bacteriophage T7, gene 5.5			99.0	130.5
phrog_6126					virion structural protein	head and packaging	644.0	921.74
phrog_4967					hypothetical	unknown function	86.0	196.85
LydB	PF16084			LydA-holin antagonist			147.0	348.23
phrog_7583					hypothetical	unknown function	110.0	187.06
phrog_454					tail fiber protein	tail	994.0	285.11
phrog_37091					hypothetical	unknown function	65.0	155.06
phrog_7310					hypothetical	unknown function	118.0	191.13
phrog_547					phosphoesterase	other	182.0	167.52
phrog_1663					dCTP deaminase	DNA, RNA and nucleotide metabolism	168.0	188.09
phrog_1072					hypothetical	unknown function	189.0	187.51
phrog_11642					hypothetical	unknown function	76.0	141.54
phrog_11314					hypothetical	unknown function	79.0	160.69
DUF4031	PF13223			Protein of unknown function (DUF4031)			84.0	77.56
phrog_2013					lytic tail protein	tail	726.0	487.85
phrog_29113					hypothetical	unknown function	37.0	49.29
phrog_6763					activator of host PrrC lysyl-tRNA endonuclease	moron, auxiliary metabolic gene and host takeover	26.0	64.77
phrog_19105					hypothetical	unknown function	45.0	128.01
phrog_5598					hypothetical	unknown function	77.0	149.44
DUF2528	PF10800			Protein of unknown function (DUF2528)			104.0	160.61
phrog_20882					hypothetical	unknown function	51.0	27.41
phrog_1002					tail fiber chaperone	tail	80.0	101.36
HTH_ParB	PF17762	CL0123		ParB HTH domain			100.0	43.15
phrog_3762					hypothetical	unknown function	50.0	127.81
phrog_272					Cox-like excisionase and repressor	integration and excision	87.0	155.07
phrog_9023					hypothetical	unknown function	83.0	86.99
Phage_tail_terminator_9	PF23961	CL0691		Phage neck terminator protein			162.0	77.25
phrog_2051					RNA polymerase	DNA, RNA and nucleotide metabolism	404.0	575.76
phrog_3732					hypothetical	unknown function	234.0	295.27
phrog_5851					hypothetical	unknown function	63.0	118.01
phrog_30084					hypothetical	unknown function	69.0	166.48
phrog_1447					hypothetical	unknown function	82.0	132.02
Phage_T4_Y16F	PF26821			Bacteriophage T4 Y16F protein			109.0	145.52
Pam3_Gp34	PF23977			Pam3 phage gp34-like protein			250.0	284.06
phrog_3483					hypothetical	unknown function	131.0	75.31
phrog_505					polynucleotide kinase	other	302.0	424.94
phrog_4731					hypothetical	unknown function	108.0	193.39
phrog_192					DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism	174.0	122.16
gp32	PF08804	CL0021		gp32 DNA binding protein like			201.0	254.69
phrog_1491					tail fiber protein	tail	212.0	271.5
phrog_3106					HNH endonuclease	DNA, RNA and nucleotide metabolism	133.0	121.65
phrog_5321					hypothetical	unknown function	89.0	108.65
phrog_19463					hypothetical	unknown function	419.0	878.49
PDDEXK_5	PF11645	CL0236		PD-(D/E)XK endonuclease			114.0	41.92
phrog_12128					hypothetical	unknown function	29.0	80.88
Gp44_C	PF21429			Sliding-clamp-loader large subunit, C-terminal domain			58.0	115.56
phrog_2508					holin	lysis	81.0	95.79
DUF7696	PF24751			Family of unknown function (DUF7696)			56.0	61.45
phrog_5016					hypothetical	unknown function	74.0	127.66
phrog_12176					ABC transporter	moron, auxiliary metabolic gene and host takeover	133.0	278.24
phrog_76					tail protein	tail	159.0	259.3
DUF1317	PF07026			Protein of unknown function (DUF1317)			60.0	136.85
phrog_6197					Rz-like spanin	lysis	167.0	220.96
phrog_218					head closure	connector	150.0	212.33
phrog_10305					tail fiber protein	tail	877.0	812.1
phrog_548					RNA ligase	DNA, RNA and nucleotide metabolism	334.0	458.67
Metallophos	PF00149	CL0163		Calcineurin-like phosphoesterase			189.0	32.86
phrog_14773					hypothetical	unknown function	56.0	142.23
phrog_10243					hypothetical	unknown function	184.0	307.45
DUF3927	PF13064			Protein of unknown function (DUF3927)			53.0	86.14
phrog_1166					anti-sigma factor	moron, auxiliary metabolic gene and host takeover	89.0	141.68
phrog_655					homing endonuclease	DNA, RNA and nucleotide metabolism	254.0	108.51
phrog_2306					hypothetical	unknown function	68.0	126.68
phrog_5077					hypothetical	unknown function	56.0	138.4
phrog_4190					hypothetical	unknown function	170.0	313.12
phrog_4603					alpha-2;3-sialyltransferase	other	179.0	247.07
phrog_4820					membrane protein	moron, auxiliary metabolic gene and host takeover	65.0	111.11
Phage_HK97_TLTM	PF06120			Tail length tape measure protein			155.0	32.48
OLD-like_TOPRIM	PF20469	CL0413		Overcoming lysogenization defect protein-like, TOPRIM domain			67.0	62.65
phrog_15991					hypothetical	unknown function	85.0	176.81
phrog_9565					hypothetical	unknown function	64.0	104.36
phrog_2381					hypothetical	unknown function	61.0	77.48
phrog_232					baseplate wedge subunit	tail	196.0	236.47
phrog_5672					Rz-like spanin	lysis	45.0	84.25
Rho_N	PF07498	CL0306		Rho termination factor, N-terminal domain			43.0	34.41
phrog_13629					hypothetical	unknown function	39.0	109.71
phrog_16976					hypothetical	unknown function	85.0	56.07
vRNAP_plug	PF21624			Virion DNA-directed RNA polymerase, plug insertion			84.0	99.51
phrog_3279					tail fiber protein	tail	376.0	456.92
phrog_1479					hypothetical	unknown function	116.0	116.57
phrog_6798					hypothetical	unknown function	106.0	209.25
phrog_5197					hypothetical	unknown function	294.0	453.16
phrog_944					membrane protein	moron, auxiliary metabolic gene and host takeover	153.0	189.26
DUF5487	PF17589			Family of unknown function (DUF5487)			66.0	162.82
phrog_4806					histidyl tRNA synthetase	DNA, RNA and nucleotide metabolism	183.0	235.07
phrog_2420					tail fiber protein	tail	155.0	225.68
phrog_11068					hypothetical	unknown function	55.0	132.37
Band_7	PF01145	CL0433		SPFH domain / Band 7 family			211.0	87.6
DUF7293	PF23965			Family of unknown function (DUF7293)			54.0	125.41
phrog_1040					peptidase HslV family	other	164.0	133.09
phrog_12155					hypothetical	unknown function	116.0	253.07
phrog_33188					hypothetical	unknown function	40.0	29.52
Phage_CII	PF05269	CL0123		Bacteriophage CII protein			91.0	163.61
phrog_5592					hypothetical	unknown function	90.0	117.36
phrog_2676					hypothetical	unknown function	73.0	100.82
phrog_25729					hypothetical	unknown function	110.0	99.93
phrog_302					virion structural protein	head and packaging	132.0	115.99
DarA_C	PF18789			Defence against restriction A C-terminal			65.0	61.31
Phage_holin_2_2	PF10746	CL0563		Phage holin T7 family, holin superfamily II			61.0	128.33
Gp10_D3	PF22670			Baseplate wedge protein gp10 domain 3			122.0	168.71
phrog_11995					hypothetical	unknown function	131.0	298.71
phrog_3358					hypothetical	unknown function	79.0	91.15
phrog_27059					hypothetical	unknown function	194.0	459.72
DUF7237	PF23884			Family of unknown function (DUF7237)			77.0	150.04
phrog_14731					hypothetical	unknown function	76.0	152.6
phrog_4189					hypothetical	unknown function	78.0	107.21
phrog_4473					hypothetical	unknown function	70.0	153.47
phrog_30284					Rz-like spanin	lysis	110.0	261.95
phrog_314					homing endonuclease	DNA, RNA and nucleotide metabolism	312.0	106.55
phrog_9709					hypothetical	unknown function	117.0	143.21
NinF	PF05810	CL0167		NinF protein			25.0	47.18
phrog_22634					hypothetical	unknown function	131.0	300.25
phrog_1460					tRNA amidotransferase	DNA, RNA and nucleotide metabolism	146.0	157.52
phrog_577					Doc-like toxin	moron, auxiliary metabolic gene and host takeover	126.0	166.77
phrog_16293					hypothetical	unknown function	60.0	125.6
phrog_14011					hypothetical	unknown function	62.0	37.73
SIR2	PF02146	CL0063		Sir2 family			175.0	97.86
phrog_1345					MotA-like activator of middle period transcription	transcription regulation	211.0	329.71
Exc	PF07825	CL0123		Excisionase-like protein			72.0	140.9
phrog_20137					ribonucleotide reductase	DNA, RNA and nucleotide metabolism	38.0	104.26
phrog_5670					arabinose 5-phosphate isomerase	moron, auxiliary metabolic gene and host takeover	211.0	387.25
phrog_20923					hypothetical	unknown function	158.0	321.35
phrog_99					HNH endonuclease	DNA, RNA and nucleotide metabolism	131.0	174.31
phrog_986					RNA-binding protein	DNA, RNA and nucleotide metabolism	109.0	121.31
phrog_720					transposase	integration and excision	125.0	264.61
Phage_T7_GP04	PF26807			Phage T7 gene product 0.4			47.0	67.91
phrog_18443					hypothetical	unknown function	252.0	527.12
phrog_2470					membrane protein	moron, auxiliary metabolic gene and host takeover	117.0	115.66
phrog_10668					hypothetical	unknown function	124.0	280.95
phrog_2243					hypothetical	unknown function	93.0	125.92
phrog_2183					unknown function	unknown function	71.0	131.87
phrog_11938					hypothetical	unknown function	95.0	210.66
DUF7170	PF23776			Protein of unknown function (DUF7170)			51.0	68.9
QueC	PF06508	CL0039		Queuosine biosynthesis protein QueC			208.0	187.9
phrog_14944					hypothetical	unknown function	153.0	320.35
phrog_9122					hypothetical	unknown function	64.0	121.97
Amidoligase_2	PF12224	CL0286		Putative amidoligase enzyme			169.0	30.76
PDDEXK_15	PF24608	CL0236		Phage putative PDDEXK endonuclease			145.0	51.97
phrog_5293					hypothetical	unknown function	68.0	118.9
phrog_22841					hypothetical	unknown function	61.0	152.4
phrog_791					hypothetical	unknown function	225.0	279.55
phrog_24953					hypothetical	unknown function	43.0	107.78
phrog_22517					lipoprotein	other	65.0	160.74
phrog_9934					hypothetical	unknown function	62.0	111.36
Trans_coact	PF16805			Phage late-transcription coactivator			77.0	91.91
phrog_5407					hypothetical	unknown function	58.0	83.15
IstB_IS21	PF01695	CL0023		IstB-like ATP binding protein			222.0	62.16
phrog_1578					hypothetical	unknown function	80.0	110.78
phrog_943					anti-termination protein Q-like	transcription regulation	166.0	310.17
phrog_1327					Rz-like spanin	lysis	143.0	218.25
DUF7768	PF24963	CL0498		Domain of unknown function (DUF7768)			107.0	33.85
phrog_9814					hypothetical	unknown function	68.0	147.77
phrog_24402					holin	lysis	107.0	188.49
phrog_15268					hypothetical	unknown function	56.0	139.78
Head-tail_con	PF12236	CL0838		Bacteriophage head to tail connecting protein			473.0	381.9
phrog_4804					hypothetical	unknown function	81.0	152.55
phrog_4446					hypothetical	unknown function	80.0	61.34
Phage_T4_Y06O	PF26873			Phage T4 Y06O protein			130.0	241.95
AP2	PF00847	CL0081		AP2 domain			50.0	29.71
NrS1-1_pol-like_HBD	PF22763			NrS-1  polymerase HBD domain			46.0	27.21
phrog_8173					hypothetical	unknown function	42.0	92.54
Phage_P2_GpE	PF06528			Phage P2 GpE			37.0	76.26
Baseplate_Tube_p140	PF23779			Bacteriophage Baseplate Tube Protein Family			298.0	444.69
DUF3310	PF11753			Protein of unknwon function (DUF3310)			64.0	82.38
PRTase_3	PF15610	CL0533		PRTase ComF-like			259.0	142.73
phrog_14025					hypothetical	unknown function	91.0	72.89
phrog_11641					hypothetical	unknown function	147.0	326.62
phrog_1400					Srd anti-sigma factor	moron, auxiliary metabolic gene and host takeover	246.0	365.02
phrog_1168					hypothetical	unknown function	164.0	228.7
Phage_TAC_15	PF21822	CL0567		Phage tail assembly chaperone protein, TAC			120.0	85.95
Phage_P22_NinX	PF10765			Bacteriophage P22, NinX			114.0	37.3
phrog_444					hypothetical	unknown function	123.0	83.52
phrog_2213					nucleoside triphosphate pyrophosphohydrolase	other	94.0	213.06
phrog_14393					hydrolase	other	218.0	396.44
phrog_770					DNA transfer protein	other	714.0	732.29
DUF7421	PF24196			Family of unknown function (DUF7421)			61.0	142.35
DUF7577	PF24463	CL0167		Domain of unknown function (DUF7577)			21.0	22.76
phrog_6693					hypothetical	unknown function	46.0	109.06
phrog_477					head-tail adaptor Ad1	connector	167.0	156.78
phrog_27666					hypothetical	unknown function	263.0	623.26
phrog_14176					polymerase	DNA, RNA and nucleotide metabolism	83.0	142.4
phrog_6662					hypothetical	unknown function	77.0	145.24
phrog_17775					hypothetical	unknown function	133.0	123.88
phrog_3712					replication origin binding	DNA, RNA and nucleotide metabolism	926.0	1817.72
phrog_9922					minor tail protein	tail	199.0	464.43
Phage_ProQ_C_like	PF24203	CL0010		Phage ProQ C-terminal-like domain			113.0	27.33
phrog_384					virion structural protein	head and packaging	164.0	87.9
phrog_3462					nicotinamide-nucleotide adenylyltransferase	moron, auxiliary metabolic gene and host takeover	350.0	507.08
phrog_6254					HNH endonuclease	DNA, RNA and nucleotide metabolism	148.0	191.69
phrog_1183					endonuclease V N-glycosylase UV repair enzyme	DNA, RNA and nucleotide metabolism	138.0	213.32
phrog_6973					hypothetical	unknown function	64.0	145.22
SprB	PF13573	CL0159		SprB repeat			21.0	24.56
DUF2644	PF10841			Protein of unknown function (DUF2644)			59.0	72.39
phrog_20244					hypothetical	unknown function	143.0	279.26
DUF5417	PF17438			Family of unknown function (DUF5417)			79.0	105.89
phrog_1550					QueC-like queuosine biosynthesis	moron, auxiliary metabolic gene and host takeover	234.0	243.33
Phage_T4_Y12K	PF26902			Bacteriophage T4 protein Y12K			95.0	97.16
Zn_ribbon_InsA	PF03811	CL0167		InsA N-terminal domain			36.0	75.28
phrog_34563					hypothetical	unknown function	42.0	117.71
phrog_17655					hypothetical	unknown function	51.0	119.14
phrog_12698					hypothetical	unknown function	73.0	135.44
phrog_6399					SieB superinfection exclusion	moron, auxiliary metabolic gene and host takeover	183.0	379.63
Inhibitor_I24	PF10465			PinA peptidase inhibitor			140.0	143.94
phrog_2973					Hoc-like head decoration	head and packaging	279.0	224.57
phrog_2180					hypothetical	unknown function	41.0	72.81
phrog_2373					DNA helicase	DNA, RNA and nucleotide metabolism	527.0	856.43
phrog_924					hypothetical	unknown function	64.0	51.65
phrog_38795					hypothetical	unknown function	68.0	129.54
phrog_5165					hypothetical	unknown function	69.0	35.29
phrog_1530					DNA methyltransferase	other	139.0	191.5
phrog_9481					hypothetical	unknown function	46.0	80.13
phrog_14248					hypothetical	unknown function	55.0	121.44
DTP-pb9_A-dom_C	PF21424	CL0504		Distal tail protein pb9, A domain C-terminal			32.0	71.54
Arm-DNA-bind_3	PF13356	CL0081		Arm DNA-binding domain			86.0	88.03
phrog_11449					hypothetical	unknown function	75.0	131.9
phrog_5305					hypothetical	unknown function	68.0	104.6
phrog_8583					hypothetical	unknown function	290.0	418.86
phrog_150					baseplate hub	tail	208.0	240.94
phrog_626					anaerobic ribonucleotide reductase small subunit	DNA, RNA and nucleotide metabolism	156.0	239.48
phrog_289					GTP-binding domain	other	130.0	114.79
phrog_16521					hypothetical	unknown function	131.0	151.02
phrog_22146					hypothetical	unknown function	60.0	150.41
GGACT	PF06094	CL0278		Gamma-glutamyl cyclotransferase, AIG2-like			127.0	64.78
TK	PF00265	CL0023		Thymidine kinase			184.0	205.55
DUF7338	PF24027			Family of unknown function (DUF7338)			185.0	203.35
phrog_1175					hypothetical	unknown function	76.0	118.62
DUF7438	PF24219			Family of unknown function (DUF7438)			58.0	63.17
phrog_25602					hypothetical	unknown function	29.0	75.03
Toprim_3	PF13362	CL0413		Toprim domain			105.0	42.09
phrog_540					nucleotide-sugar epimerase	DNA, RNA and nucleotide metabolism	276.0	202.1
phrog_4968					hypothetical	unknown function	82.0	128.57
phrog_13127					hypothetical	unknown function	137.0	179.78
phrog_2633					endonuclease VII	DNA, RNA and nucleotide metabolism	195.0	73.43
phrog_6015					single strand DNA binding protein	DNA, RNA and nucleotide metabolism	299.0	292.07
phrog_12359					hypothetical	unknown function	85.0	188.69
phrog_2604					unknown function	unknown function	130.0	238.35
phrog_7421					hypothetical	unknown function	66.0	135.78
phrog_1055					restriction alleviation ral	DNA, RNA and nucleotide metabolism	66.0	166.56
DUF5498	PF17602			Family of unknown function (DUF5498)			96.0	213.07
phrog_18933					hypothetical	unknown function	33.0	85.61
phrog_1896					hypothetical	unknown function	118.0	190.56
AdfA	PF23813			Anti-DarT factor A			208.0	486.3
phrog_4427					hypothetical	unknown function	68.0	154.34
DUF5906	PF19263	CL0023		Family of unknown function (DUF5906)			115.0	53.58
phrog_681					endonuclease	DNA, RNA and nucleotide metabolism	322.0	252.63
phrog_2518					hypothetical	unknown function	332.0	796.1
DUF7390	PF24116			Domain of unknown function (DUF7390)			82.0	51.37
phrog_8176					hypothetical	unknown function	65.0	120.91
phrog_15739					hypothetical	unknown function	72.0	166.94
phrog_1049					head scaffolding protein	head and packaging	140.0	239.02
Phage_T4_Y13G	PF26883			Bacteriophage T4 protein Y13G			65.0	109.27
PG_binding_3	PF09374	CL0244		Predicted Peptidoglycan domain			82.0	35.62
DTP-pb9_B-dom	PF21430	CL0021		Distal tail protein pb9, B domain			85.0	141.44
phrog_8157					hypothetical	unknown function	121.0	235.52
phrog_7354					major head protein	head and packaging	81.0	180.76
phrog_26834					hypothetical	unknown function	94.0	216.29
Phage_T4_Y16B	PF26827			Phage Y16B protein			43.0	94.74
phrog_255					exonuclease	DNA, RNA and nucleotide metabolism	227.0	294.31
Phage_term_smal	PF05944			Phage small terminase subunit			130.0	161.43
Phage_head_chap	PF11113			Head assembly gene product			56.0	90.09
Phage_tail_S	PF05069	CL0348		Phage virion morphogenesis family			148.0	149.92
phrog_4141					hypothetical	unknown function	100.0	209.12
Gp53-like_C	PF21882	CL0840		Putative tail fiber protein gp53-like, C-terminal			88.0	27.72
phrog_19851					hypothetical	unknown function	59.0	131.86
Phage_T7_Capsid	PF05396			Phage T7 capsid assembly protein			183.0	254.72
vRNAP_dom	PF21769			Virion DNA-directed RNA polymerase domain			145.0	178.17
phrog_4233					hypothetical	unknown function	205.0	331.58
DUF7177	PF23801			Family of unknown function (DUF7177)			83.0	142.74
DUF5495	PF17599			Family of unknown function (DUF5495)			71.0	155.35
DUF1398	PF07166			Protein of unknown function (DUF1398)			119.0	156.68
phrog_1683					hypothetical	unknown function	67.0	129.59
phrog_2949					dGTPase inhibitor; target for F exclusion	other	85.0	135.55
phrog_8284					hypothetical	unknown function	122.0	189.09
phrog_10					major head protein	head and packaging	455.0	145.1
phrog_254					late promoter transcriptional regulator	transcription regulation	112.0	110.69
phrog_8382					hypothetical	unknown function	104.0	134.13
phrog_1829					DNA primase	DNA, RNA and nucleotide metabolism	774.0	744.12
phrog_59					HNH endonuclease	DNA, RNA and nucleotide metabolism	138.0	105.95
phrog_3614					hypothetical	unknown function	204.0	369.48
phrog_1843					hypothetical	unknown function	228.0	323.15
Phage_30_3	PF08010	CL0787		Bacteriophage protein GP30.3			140.0	233.41
Phage_YdaY	PF27119			YdaY prophage protein			108.0	25.45
phrog_160					thymidylate synthase	DNA, RNA and nucleotide metabolism	245.0	223.4
phrog_17368					tail length tape measure protein	tail	102.0	134.42
phrog_23					tail sheath	tail	658.0	404.76
phrog_766					head decoration	head and packaging	152.0	163.97
phrog_612					RIIA lysis inhibitor	lysis	725.0	880.54
phrog_11097					hypothetical	unknown function	85.0	161.13
Gp34_2nd	PF21560			Long-tail fiber proximal subunit, C-terminal, second			99.0	126.24
phrog_5200					HNH endonuclease	DNA, RNA and nucleotide metabolism	145.0	243.94
Gp0_5	PF26813			Bacteriophage T7 protein 0.5			42.0	84.55
phrog_17458					hypothetical	unknown function	111.0	207.24
phrog_5757					peptidase	other	389.0	886.64
phrog_1191					transposase	integration and excision	91.0	186.62
ALC	PF17527			Phage ALC protein			167.0	236.61
phrog_30487					hypothetical	unknown function	153.0	138.97
phrog_1357					major head protein	head and packaging	401.0	521.4
Phage_lambda_Ea47	PF26900			Bacteriophage lambda protein ea47			383.0	100.98
Phage_fiber	PF03335			Phage tail fibre repeat			53.0	10.51
phrog_4439					hypothetical	unknown function	57.0	80.16
phrog_1538					tail length tape measure protein	tail	768.0	739.35
phrog_2794					hypothetical	unknown function	111.0	185.62
phrog_4234					HNH endonuclease	DNA, RNA and nucleotide metabolism	125.0	81.04
MTES_1575	PF18741	CL0236		REase_MTES_1575			91.0	29.15
phrog_273					hypothetical	unknown function	56.0	140.67
phrog_14548					hypothetical	unknown function	179.0	321.89
phrog_3497					hypothetical	unknown function	145.0	242.05
phrog_15322					hypothetical	unknown function	70.0	85.47
phrog_14963					hypothetical	unknown function	64.0	148.16
phrog_7900					hypothetical	unknown function	75.0	107.11
phrog_10996					hypothetical	unknown function	70.0	107.2
phrog_2970					hypothetical	unknown function	325.0	367.77
phrog_1453					hypothetical	unknown function	130.0	206.28
phrog_1307					RNA polymerase inhibitor	DNA, RNA and nucleotide metabolism	64.0	102.94
phrog_34767					hypothetical	unknown function	39.0	91.74
phrog_4459					hypothetical	unknown function	72.0	151.44
phrog_16586					tail fiber protein	tail	349.0	218.79
phrog_231					UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	137.0	174.6
phrog_15301					hypothetical	unknown function	106.0	187.77
phrog_2360					hypothetical	unknown function	66.0	141.38
phrog_2914					endonuclease VII	DNA, RNA and nucleotide metabolism	189.0	79.33
DUF4014	PF13198			Protein of unknown function (DUF4014)			54.0	64.22
phrog_6921					tail fiber protein	tail	747.0	403.18
Phage_T4_Y07D	PF26870			Phage T4 Y07D protein			61.0	97.75
phrog_13681					hypothetical	unknown function	103.0	199.7
phrog_11166					hypothetical	unknown function	61.0	149.57
phrog_21410					hypothetical	unknown function	162.0	317.92
Fer4_12	PF13353	CL0344		4Fe-4S single cluster domain			135.0	162.87
phrog_7					endolysin	lysis	163.0	98.47
phrog_6741					hypothetical	unknown function	164.0	285.21
phrog_12675					hypothetical	unknown function	72.0	166.75
Phage_tail_terminator_3	PF23842	CL0691		Phage tail termination protein			124.0	141.13
phrog_6360					hypothetical	unknown function	86.0	48.33
phrog_12623					hypothetical	unknown function	75.0	176.37
phrog_6080					hypothetical	unknown function	72.0	49.84
phrog_873					endolysin	head and packaging	144.0	210.45
DUF5499	PF17603			Family of unknown function (DUF5499)			97.0	215.62
phrog_12838					replication initiation protein	DNA, RNA and nucleotide metabolism	116.0	265.16
phrog_16667					DNA polymerase I	DNA, RNA and nucleotide metabolism	224.0	267.53
DUF4054	PF13262			Protein of unknown function (DUF4054)			105.0	76.37
Phage_rep_O	PF04492	CL0123		Bacteriophage replication protein O			95.0	122.65
Gp10_C	PF21939	CL0779		Baseplate structural protein Gp10, C-terminal domain			153.0	185.33
phrog_24511					hypothetical	unknown function	55.0	142.85
phrog_1992					MazG-like pyrophosphatase	other	197.0	210.82
phrog_2197					GTP cyclohydrolase	other	199.0	251.75
phrog_15130					hypothetical	unknown function	116.0	248.83
phrog_569					tail length tape measure protein	tail	104.0	116.54
phrog_227					tail sheath stabilizer	tail	272.0	364.36
phrog_3970					polynucleotide kinase	other	231.0	448.96
phrog_12266					hypothetical	unknown function	71.0	153.07
phrog_12226					hypothetical	unknown function	192.0	446.54
Phage_T4_Y05C	PF26908			Bacteriophage T4 protein Y05C			133.0	172.58
phrog_1149					Hoc-like head decoration	head and packaging	376.0	642.09
phrog_6053					hypothetical	unknown function	105.0	147.42
phrog_8393					hypothetical	unknown function	111.0	209.62
phrog_28969					hypothetical	unknown function	120.0	219.07
phrog_4640					hypothetical	unknown function	77.0	157.2
phrog_6906					hypothetical	unknown function	67.0	65.07
phrog_446					tail protein	tail	196.0	265.31
Phage_attach	PF05354	CL0504		Phage Head-Tail Attachment protein			107.0	71.54
phrog_10643					hypothetical	unknown function	59.0	131.7
Minor_tail_Z	PF06763	CL0504		Prophage minor tail protein Z (GPZ)			190.0	274.39
phrog_4263					hypothetical	unknown function	336.0	561.29
phrog_16005					hypothetical	unknown function	44.0	92.71
Phage_P22_Y8K6	PF27050			Salmonella phage P22 protein Y8K6			47.0	26.56
phrog_363					DNA methyltransferase	other	261.0	97.72
Gad2	PF26128	CL0260		Gabija anti-defense 2 family protein			145.0	36.57
zf-dskA_traR	PF01258	CL0839		Prokaryotic dksA/traR C4-type zinc finger			37.0	43.05
phrog_13048					hypothetical	unknown function	50.0	135.8
phrog_37795					hypothetical	unknown function	46.0	108.62
phrog_7287					hypothetical	unknown function	86.0	160.05
N6_N4_Mtase	PF01555	CL0063		DNA methylase			331.0	139.78
phrog_4098					hypothetical	unknown function	561.0	987.85
Peptidase_S74	PF13884			Chaperone of endosialidase			60.0	38.59
phrog_10378					HNH endonuclease	DNA, RNA and nucleotide metabolism	296.0	500.78
phrog_250					hypothetical	unknown function	182.0	204.25
phrog_2877					holin	lysis	71.0	127.45
phrog_4262					hypothetical	unknown function	111.0	224.45
phrog_12922					hypothetical	unknown function	94.0	221.81
phrog_3002					hypothetical	unknown function	50.0	44.63
phrog_614					hypothetical	unknown function	193.0	273.87
Rad52_Rad22	PF04098	CL0196		Rad52/22 family double-strand break repair protein			134.0	88.87
phrog_9703					head decoration	head and packaging	358.0	364.08
phrog_2071					ATPase	other	136.0	189.4
phrog_6212					unknown function	unknown function	43.0	124.67
Phage_portal_3	PF06381	CL0838		Phage portal protein			342.0	232.02
ocr	PF08684			DNA mimic ocr			101.0	173.3
Sequestin	PF21825			Sequestin			61.0	68.93
DUF1391	PF07151			Protein of unknown function (DUF1391)			49.0	93.68
phrog_768					DprA-like DNA recombination-mediator protein	DNA, RNA and nucleotide metabolism	191.0	203.74
phrog_21957					hypothetical	unknown function	41.0	49.23
phrog_1898					lysis determining protein	lysis	147.0	280.04
DUF7444	PF24231			Family of unknown function (DUF7444)			80.0	70.21
phrog_902					hypothetical	unknown function	86.0	98.27
phrog_179					tail terminator	connector	133.0	110.3
phrog_11192					hypothetical	unknown function	110.0	172.71
phrog_1607					single strand DNA binding protein	DNA, RNA and nucleotide metabolism	257.0	365.18
phrog_2828					serine-threonine kinase	other	359.0	570.98
phrog_71					head-tail adaptor Ad1	connector	169.0	246.92
phrog_963					baseplate wedge subunit	tail	219.0	294.18
phrog_23692					hypothetical	unknown function	64.0	164.45
phrog_6957					hypothetical	unknown function	63.0	145.66
phrog_7471					hypothetical	unknown function	63.0	102.34
phrog_4306					Rz-like spanin	lysis	83.0	135.93
phrog_673					head scaffolding protein	head and packaging	136.0	72.66
Phage_T4_Y02C	PF26865			Phage T4 Y02C protein			47.0	86.13
T7-like_Y65	PF10911			Bacteriophage T7-like gene 6.5			77.0	142.89
Int_N	PF24624	CL0469		Phage integrase, N-terminal domain			100.0	85.99
phrog_412					exonuclease VIII	DNA, RNA and nucleotide metabolism	321.0	281.56
NUMOD3	PF07460			NUMOD3 motif			36.0	23.89
phrog_244					RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	153.0	109.16
phrog_9004					hypothetical	unknown function	108.0	200.98
